DEP,DEPNOMBRE,MUN,MUNNOMBRE,total_votos_v1,pct_gomez_v1,pct_fico_v1,pct_petro_v1,pct_ingrid_v1,pct_johnmilton_v1,pct_luisperez_v1,pct_rodolfo_v1,pct_fajardo_v1,ganador_v1,pct_petro_v2,pct_rodolfo_v2,gano_petro,margen_victoria,total_votos_v2,cod_mpio,nombre_mpio,cobertura_acueducto,cobertura_alcantarillado,pobreza_extrema,desempeno_fiscal,pct_rural,tasa_homicidios,nbi_rural,nbi_urbano,ipm,poblacion_total
1,ANTIOQUIA,1,MEDELLIN,1138298,0.23,53.01,24.23,0.05,0.68,0.1,12.42,6.1,fico,33.36,61.78,0,-28.42,1112718,1001,,,,,,,,,,,
1,ANTIOQUIA,4,ABEJORRAL,7410,0.26,66.69,9.24,0.08,0.49,0.11,15.01,4.83,fico,13.23,83.95,0,-70.72,7745,1004,,,,,,,,,,,
1,ANTIOQUIA,7,ABRIAQUI,988,0.3,70.45,5.67,,,0.2,17.61,2.94,fico,8.79,87.92,0,-79.13,1126,1007,,,,,,,,,,,
1,ANTIOQUIA,10,ALEJANDRIA,2364,0.3,63.49,11.51,0.04,0.04,0.13,16.88,5.16,fico,16.29,80.7,0,-64.41,2461,1010,,,,,,,,,,,
1,ANTIOQUIA,13,AMAGA,11764,0.24,41.49,19.38,0.06,0.28,0.14,30.02,4.22,fico,27.44,67.86,0,-40.42,11937,1013,,,,,,,,,,,
1,ANTIOQUIA,16,AMALFI,6176,0.32,42.58,14.39,0.05,0.58,0.15,31.14,5.59,fico,20.51,74.63,0,-54.12,6737,1016,,,,,,,,,,,
1,ANTIOQUIA,19,ANDES,16466,0.2,56.66,14.58,0.02,0.24,0.13,21.33,4.17,fico,20.41,76.33,0,-55.92,17587,1019,,,,,,,,,,,
1,ANTIOQUIA,22,ANGELOPOLIS,2580,0.16,52.87,14.07,0.16,0.23,0.16,24.11,3.95,fico,20.58,74.54,0,-53.96,2706,1022,,,,,,,,,,,
1,ANTIOQUIA,25,ANGOSTURA,3291,0.64,46.4,10.27,0.4,0.18,0.27,27.71,8.02,fico,17.55,76.41,0,-58.86,3676,1025,,,,,,,,,,,
1,ANTIOQUIA,28,ANORI,3502,1.26,29.24,24.64,0.09,0.49,0.14,35.01,4.28,rodolfo,34.14,61.21,0,-27.07,4042,1028,,,,,,,,,,,
1,ANTIOQUIA,31,ANTIOQUIA,10516,0.21,39.8,21.13,0.09,0.47,0.12,28.53,4.17,fico,28.28,66.95,0,-38.67,10963,1031,,,,,,,,,,,
1,ANTIOQUIA,34,ANZA,2360,0.42,48.22,9.66,,0.17,0.13,33.22,4.28,fico,13.33,83.52,0,-70.19,2858,1034,,,,,,,,,,,
1,ANTIOQUIA,35,APARTADO,49593,0.17,16.8,52.76,0.03,1.76,0.04,22.49,2.27,petro,64.29,31.88,1,32.41,52727,1035,,,,,,,,,,,
1,ANTIOQUIA,37,ARBOLETES,9465,0.18,38.08,39.79,0.04,0.71,0.04,15.66,3.51,petro,42.85,55.17,0,-12.32,11937,1037,,,,,,,,,,,
