cod_mpio,nombre_mpio,cobertura_acueducto,cobertura_alcantarillado,pobreza_extrema,desempeno_fiscal,pct_rural,tasa_homicidios,nbi_rural,nbi_urbano,ipm,poblacion_total
11001,Bogotá,99.48,99.16,2.19,83.25,0.42,13.12,11.03,3.34,9.0,7556041.0
13000,Bolívar,78.7,50.92,10.57,73.75,27.2,20.11,41.4,21.69,38.04,2299543.0
13001,Cartagena,93.67,86.83,5.16,75.34,12.12,35.83,20.52,11.49,19.9,974086.0
13006,Achí,69.71,0.8,6.91,60.48,78.66,3.92,62.35,34.33,62.4,33856.0
13030,Altos del Rosario,45.56,3.49,6.91,41.0,67.54,16.83,65.15,48.66,70.7,9129.0
13042,Arenal,76.01,34.47,6.91,63.23,42.55,37.62,50.6,26.49,62.0,9869.0
13052,Arjona,75.45,8.0,6.91,66.2,22.99,17.19,24.75,27.23,47.4,76323.0
13062,Arroyohondo,62.84,14.57,6.91,53.16,42.33,11.19,27.27,51.72,68.4,7555.0
13074,Barranco de Loba,45.92,4.1,6.91,56.39,64.16,19.27,56.37,32.07,68.9,19600.0
13140,Calamar,52.12,1.04,6.91,65.36,41.74,21.11,47.0,35.78,62.5,26980.0
13160,Cantagallo,56.99,43.61,6.91,70.79,44.82,78.49,64.44,17.74,50.6,9037.0
13188,Cicuco,92.42,1.65,6.91,66.79,34.21,13.64,32.99,33.47,61.3,20187.0
13212,Córdoba,78.89,1.65,6.91,61.97,79.99,5.92,21.46,51.04,61.9,21721.0
13222,Clemencia,13.23,0.94,6.91,66.62,17.6,18.93,62.83,88.75,63.0,18365.0
13244,El Carmen de Bolívar,72.57,3.54,6.91,69.33,26.2,44.33,65.01,33.26,58.4,79762.0
13248,El Guamo,72.12,0.37,6.91,48.71,45.36,0.0,23.3,33.67,59.5,10655.0
13268,El Peñón,54.73,2.8,6.91,47.96,66.49,0.0,58.65,27.19,67.7,6529.0
13300,Hatillo de Loba,84.77,21.53,6.91,59.93,74.96,29.97,53.92,40.52,73.8,13452.0
13430,Magangué,83.56,30.28,6.91,74.43,30.16,17.4,33.46,23.17,49.1,168073.0
13433,Mahates,82.35,10.69,6.91,39.33,63.92,9.97,19.5,41.48,54.3,38534.0
13440,Margarita,70.28,0.53,6.91,57.18,84.96,17.56,37.44,29.4,65.6,12643.0
13442,María La Baja,24.68,9.58,6.91,54.44,55.21,30.19,45.26,48.13,63.2,47483.0
13458,Montecristo,31.03,0.61,6.91,59.17,77.36,11.08,69.3,46.52,70.1,14392.0
13468,Mompós,86.05,31.47,6.91,68.73,48.93,18.91,38.27,20.38,49.1,51106.0
13473,Morales,47.34,35.02,6.91,60.49,70.93,16.71,66.29,41.0,57.6,27653.0
13490,Norosí,3.33,1.11,6.91,53.15,78.86,58.78,75.72,37.38,66.2,15769.0
13549,Pinillos,51.72,11.98,6.91,60.93,85.94,3.99,63.76,49.81,67.5,25294.0
13580,Regidor,88.99,6.45,6.91,55.24,40.0,13.64,31.02,23.4,48.9,9042.0
13600,Río Viejo,64.1,37.6,6.91,43.48,53.76,9.08,58.36,30.62,57.3,14119.0
13620,San Cristóbal,94.34,1.57,6.91,57.57,22.39,11.38,13.4,29.08,49.9,12753.0
13647,San Estanislao,89.0,0.95,6.91,66.35,32.12,10.31,25.7,35.25,50.7,25690.0
13650,San Fernando,67.18,12.94,6.91,51.36,84.27,7.49,43.89,22.15,64.3,11057.0
13654,San Jacinto,0.69,0.5,6.91,61.93,13.43,47.67,60.83,98.08,60.3,32052.0
13655,San Jacinto del Cauca,38.4,0.81,6.91,60.55,75.64,9.26,69.82,51.7,66.7,11681.0
13657,San Juan Nepomuceno,53.12,1.22,6.91,67.71,25.01,7.59,25.6,42.59,56.2,50137.0
13667,San Martín de Loba,59.09,35.96,6.91,44.62,54.17,39.28,58.27,31.53,60.6,14112.0
13670,San Pablo,75.14,50.89,6.91,55.81,18.85,91.6,59.56,32.87,54.0,28837.0
13673,Santa Catalina,2.78,1.64,6.91,35.31,63.15,26.1,35.13,94.98,54.8,16731.0
13683,Santa Rosa,32.99,1.06,6.91,67.83,10.49,47.86,47.1,72.67,54.3,23416.0
13688,Santa Rosa del Sur,69.67,66.48,6.91,72.54,39.01,39.49,48.46,13.81,43.6,30439.0
13744,Simití,64.58,1.26,6.91,68.92,67.74,117.16,44.28,17.75,54.8,16742.0
13760,Soplaviento,88.75,1.26,6.91,56.2,1.62,9.0,82.35,27.33,39.4,17154.0
13780,Talaigua Nuevo,86.93,19.14,6.91,65.64,51.47,14.8,27.35,25.11,50.7,18064.0
13810,Tiquisio,37.59,1.23,6.91,58.23,65.35,20.49,68.67,43.92,73.0,16347.0
13836,Turbaco,76.08,23.66,6.91,79.22,9.37,16.33,34.6,15.89,30.4,151938.0
13838,Turbaná,57.96,42.65,6.91,66.75,26.83,5.6,29.87,53.98,42.8,19853.0
13873,Villanueva,53.87,1.37,6.91,52.55,13.27,23.19,43.37,39.07,54.1,38611.0
13894,Zambrano,81.44,1.72,6.91,63.71,12.79,7.92,65.93,39.29,62.4,14940.0
15000,Boyacá,85.52,63.22,10.17,73.21,29.99,6.87,17.81,4.93,25.61,1326466.0
15001,Tunja,98.9,95.87,3.62,77.3,2.95,4.4,12.64,3.18,11.4,225827.0
15022,Almeida,63.86,17.32,6.91,61.8,73.51,0.0,9.23,0.32,37.5,1306.0
15047,Aquitania,73.17,38.0,6.91,67.58,52.17,6.35,15.01,9.85,33.5,13109.0
15051,Arcabuco,84.65,45.11,6.91,66.85,49.65,0.0,12.19,4.75,24.8,7104.0
15087,Belén,90.28,60.08,6.91,67.76,30.69,0.0,11.02,5.0,25.2,7318.0
15090,Berbeo,85.64,25.82,6.91,56.38,63.3,62.38,19.45,3.31,40.5,1485.0
15092,Betéitiva,67.69,33.69,6.91,60.72,74.52,0.0,11.9,5.35,43.3,1209.0
15097,Boavita,49.67,41.47,6.91,60.13,43.55,41.4,27.36,9.25,48.1,4856.0
15104,Boyacá,84.78,17.0,6.91,68.88,76.84,0.0,11.55,8.48,39.7,4815.0
15106,Briceño,43.22,23.01,6.91,63.56,68.31,0.0,18.58,7.3,48.5,2026.0
15109,Buenavista,50.8,17.42,6.91,61.21,73.82,0.0,16.37,5.69,44.9,4026.0
15114,Busbanzá,91.67,48.11,6.91,62.94,44.98,86.13,9.88,11.71,31.3,1712.0
15131,Caldas,67.44,16.28,6.91,63.69,84.56,31.57,15.79,10.64,43.7,1827.0
15135,Campohermoso,43.76,33.93,6.91,78.73,65.06,32.44,24.83,8.76,52.3,2879.0
15162,Cerinza,92.92,43.58,6.91,64.86,46.27,0.0,10.73,5.45,29.4,2790.0
15172,Chinavita,75.9,39.11,6.91,62.82,52.41,0.0,17.4,6.87,41.1,2362.0
