DEPNOMBRE,municipios,cepeda_gana,pct_cepeda_promedio,pct_oposicion_promedio,oposicion_gana,ganador_dep
VAUPES,3,3,53.97,46.03,0,Cepeda
CHOCO,22,19,53.74,46.26,3,Cepeda
VICHADA,4,4,52.59,47.41,0,Cepeda
CAUCA,42,35,52.45,47.55,7,Cepeda
CORDOBA,30,26,52.24,47.76,4,Cepeda
SUCRE,20,12,51.95,48.05,8,Cepeda
NARIÑO,51,25,51.68,48.32,26,Oposición
BOLIVAR,46,30,51.41,48.59,16,Cepeda
MAGDALENA,26,10,51.4,48.6,16,Oposición
NORTE DE SAN,40,28,51.12,48.88,12,Cepeda
CAQUETA,16,12,50.94,49.06,4,Cepeda
BOYACA,123,77,50.63,49.37,46,Cepeda
HUILA,35,19,50.46,49.54,16,Cepeda
SANTANDER,87,57,50.23,49.77,30,Cepeda
TOLIMA,45,23,50.09,49.91,22,Cepeda
GUAVIARE,4,3,50.05,49.95,1,Cepeda
ARAUCA,7,5,49.72,50.28,2,Cepeda
CESAR,25,8,49.49,50.51,17,Oposición
AMAZONAS,3,2,49.22,50.78,1,Cepeda
CASANARE,18,11,49.19,50.81,7,Cepeda
RISARALDA,14,6,49.02,50.98,8,Oposición
CUNDINAMARCA,115,59,48.87,51.13,56,Cepeda
CALDAS,27,8,48.36,51.64,19,Oposición
QUINDIO,12,3,47.98,52.02,9,Oposición
VALLE,40,10,47.49,52.51,30,Oposición
BOGOTA D.C.,1,0,42.24,57.76,1,Oposición
